@#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary
1,Bulbasaur,10,14,318,45,49,49,65,65,45,1,2
2,Ivysaur,10,14,405,60,62,63,80,80,60,1,2
3,Venusaur,10,14,525,80,82,83,100,100,80,1,2
3,VenusaurMega Venusaur,10,14,625,80,100,123,122,120,80,1,2
4,Charmander,7, ,309,39,52,43,60,50,65,1,2
5,Charmeleon,7, ,405,58,64,58,80,65,80,1,2
6,Charizard,7,8,534,78,84,78,109,85,100,1,2
6,CharizardMega Charizard X,7,3,634,78,130,111,130,85,100,1,2
6,CharizardMega Charizard Y,7,8,634,78,104,78,159,115,100,1,2
7,Squirtle,18, ,314,44,48,65,50,64,43,1,2
8,Wartortle,18, ,405,59,63,80,65,80,58,1,2
9,Blastoise,18, ,530,79,83,100,85,105,78,1,2
9,BlastoiseMega Blastoise,18, ,630,79,103,120,135,115,78,1,2
10,Caterpie,1, ,195,45,30,35,20,20,45,1,2
11,Metapod,1, ,205,50,20,55,25,25,30,1,2
12,Butterfree,1,8,395,60,45,50,90,80,70,1,2
13,Weedle,1,14,195,40,35,30,20,20,50,1,2
14,Kakuna,1,14,205,45,25,50,25,25,35,1,2
15,Beedrill,1,14,395,65,90,40,45,80,75,1,2
15,BeedrillMega Beedrill,1,14,495,65,150,40,15,80,145,1,2
16,Pidgey,13,8,251,40,45,40,35,35,56,1,2
17,Pidgeotto,13,8,349,63,60,55,50,50,71,1,2
18,Pidgeot,13,8,479,83,80,75,70,70,101,1,2
18,PidgeotMega Pidgeot,13,8,579,83,80,80,135,80,121,1,2
19,Rattata,13, ,253,30,56,35,25,35,72,1,2
20,Raticate,13, ,413,55,81,60,50,70,97,1,2
21,Spearow,13,8,262,40,60,30,31,31,70,1,2
22,Fearow,13,8,442,65,90,65,61,61,100,1,2
23,Ekans,14, ,288,35,60,44,40,54,55,1,2
24,Arbok,14, ,438,60,85,69,65,79,80,1,2
25,Pikachu,4, ,320,35,55,40,50,50,90,1,2
26,Raichu,4, ,485,60,90,55,90,80,110,1,2
27,Sandshrew,11, ,300,50,75,85,20,30,40,1,2
28,Sandslash,11, ,450,75,100,110,45,55,65,1,2
29,Nidoran♀,14, ,275,55,47,52,40,40,41,1,2
30,Nidorina,14, ,365,70,62,67,55,55,56,1,2
31,Nidoqueen,14,11,505,90,92,87,75,85,76,1,2
32,Nidoran♂,14, ,273,46,57,40,40,40,50,1,2
33,Nidorino,14, ,365,61,72,57,55,55,65,1,2
34,Nidoking,14,11,505,81,102,77,85,75,85,1,2
35,Cle5,5, ,323,70,45,48,60,65,35,1,2
36,Clefable,5, ,483,95,70,73,95,90,60,1,2
37,Vulpix,7, ,299,38,41,40,50,65,65,1,2
38,Ninetales,7, ,505,73,76,75,81,100,100,1,2
39,Jigglypuff,13,5,270,115,45,20,45,25,20,1,2
40,Wigglytuff,13,5,435,140,70,45,85,50,45,1,2
41,Zubat,14,8,245,40,45,35,30,40,55,1,2
42,Golbat,14,8,455,75,80,70,65,75,90,1,2
43,Oddish,10,14,320,45,50,55,75,65,30,1,2
44,Gloom,10,14,395,60,65,70,85,75,40,1,2
45,Vileplume,10,14,490,75,80,85,110,90,50,1,2
46,Paras,1,10,285,35,70,55,45,55,25,1,2
47,Parasect,1,10,405,60,95,80,60,80,30,1,2
48,Venonat,1,14,305,60,55,50,40,55,45,1,2
49,Venomoth,1,14,450,70,65,60,90,75,90,1,2
50,Diglett,11, ,265,10,55,25,35,45,95,1,2
51,Dugtrio,11, ,405,35,80,50,50,70,120,1,2
52,Meowth,13, ,290,40,45,35,40,40,90,1,2
53,Persian,13, ,440,65,70,60,65,65,115,1,2
54,Psyduck,18, ,320,50,52,48,65,50,55,1,2
55,Golduck,18, ,500,80,82,78,95,80,85,1,2
56,Mankey,6, ,305,40,80,35,35,45,70,1,2
57,Primeape,6, ,455,65,105,60,60,70,95,1,2
58,Growlithe,7, ,350,55,70,45,70,50,60,1,2
59,Arcanine,7, ,555,90,110,80,100,80,95,1,2
60,Poliwag,18, ,300,40,50,40,40,40,90,1,2
61,Poliwhirl,18, ,385,65,65,65,50,50,90,1,2
62,Poliwrath,18,6,510,90,95,95,70,90,70,1,2
63,Abra,15, ,310,25,20,15,105,55,90,1,2
64,Kadabra,15, ,400,40,35,30,120,70,105,1,2
65,Alakazam,15, ,500,55,50,45,135,95,120,1,2
65,AlakazamMega Alakazam,15, ,590,55,50,65,175,95,150,1,2
66,Machop,6, ,305,70,80,50,35,35,35,1,2
67,Machoke,6, ,405,80,100,70,50,60,45,1,2
68,Machamp,6, ,505,90,130,80,65,85,55,1,2
69,Bellsprout,10,14,300,50,75,35,70,30,40,1,2
70,Weepinbell,10,14,390,65,90,50,85,45,55,1,2
71,Victreebel,10,14,490,80,105,65,100,70,70,1,2
72,Tentacool,18,14,335,40,40,35,50,100,70,1,2
73,Tentacruel,18,14,515,80,70,65,80,120,100,1,2
74,Geodude,16,11,300,40,80,100,30,30,20,1,2
75,Graveler,16,11,390,55,95,115,45,45,35,1,2
76,Golem,16,11,495,80,120,130,55,65,45,1,2
77,Ponyta,7, ,410,50,85,55,65,65,90,1,2
78,Rapidash,7, ,500,65,100,70,80,80,105,1,2
79,Slowpoke,18,15,315,90,65,65,40,40,15,1,2
80,Slowbro,18,15,490,95,75,110,100,80,30,1,2
80,SlowbroMega Slowbro,18,15,590,95,75,180,130,80,30,1,2
81,Magnemite,4,17,325,25,35,70,95,55,45,1,2
82,Magneton,4,17,465,50,60,95,120,70,70,1,2
83,Farfetch'd,13,8,352,52,65,55,58,62,60,1,2
84,Doduo,13,8,310,35,85,45,35,35,75,1,2
85,Dodrio,13,8,460,60,110,70,60,60,100,1,2
86,Seel,18, ,325,65,45,55,45,70,45,1,2
87,Dewgong,18,12,475,90,70,80,70,95,70,1,2
88,Grimer,14, ,325,80,80,50,40,50,25,1,2
89,Muk,14, ,500,105,105,75,65,100,50,1,2
90,Shellder,18, ,305,30,65,100,45,25,40,1,2
91,Cloyster,18,12,525,50,95,180,85,45,70,1,2
92,Gastly,9,14,310,30,35,30,100,35,80,1,2
93,Haunter,9,14,405,45,50,45,115,55,95,1,2
94,Gengar,9,14,500,60,65,60,130,75,110,1,2
94,GengarMega Gengar,9,14,600,60,65,80,170,95,130,1,2
95,Onix,16,11,385,35,45,160,30,45,70,1,2
96,Drowzee,15, ,328,60,48,45,43,90,42,1,2
97,Hypno,15, ,483,85,73,70,73,115,67,1,2
98,Krabby,18, ,325,30,105,90,25,25,50,1,2
99,Kingler,18, ,475,55,130,115,50,50,75,1,2
100,Voltorb,4, ,330,40,30,50,55,55,100,1,2
101,Electrode,4, ,480,60,50,70,80,80,140,1,2
102,Exeggcute,10,15,325,60,40,80,60,45,40,1,2
103,Exeggutor,10,15,520,95,95,85,125,65,55,1,2
104,Cubone,11, ,320,50,50,95,40,50,35,1,2
105,Marowak,11, ,425,60,80,110,50,80,45,1,2
106,Hitmonlee,6, ,455,50,120,53,35,110,87,1,2
107,Hitmonchan,6, ,455,50,105,79,35,110,76,1,2
108,Lickitung,13, ,385,90,55,75,60,75,30,1,2
109,Koffing,14, ,340,40,65,95,60,45,35,1,2
110,Weezing,14, ,490,65,90,120,85,70,60,1,2
111,Rhyhorn,11,16,345,80,85,95,30,30,25,1,2
112,Rhydon,11,16,485,105,130,120,45,45,40,1,2
113,Chansey,13, ,450,250,5,5,35,105,50,1,2
114,Tangela,10, ,435,65,55,115,100,40,60,1,2
115,Kangaskhan,13, ,490,105,95,80,40,80,90,1,2
115,KangaskhanMega Kangaskhan,13, ,590,105,125,100,60,100,100,1,2
116,Horsea,18, ,295,30,40,70,70,25,60,1,2
117,Seadra,18, ,440,55,65,95,95,45,85,1,2
118,Goldeen,18, ,320,45,67,60,35,50,63,1,2
119,Seaking,18, ,450,80,92,65,65,80,68,1,2
120,Staryu,18, ,340,30,45,55,70,55,85,1,2
121,Starmie,18,15,520,60,75,85,100,85,115,1,2
122,Mr. Mime,15,5,460,40,45,65,100,120,90,1,2
123,Scyther,1,8,500,70,110,80,55,80,105,1,2
124,Jynx,12,15,455,65,50,35,115,95,95,1,2
125,Electabuzz,4, ,490,65,83,57,95,85,105,1,2
126,Magmar,7, ,495,65,95,57,100,85,93,1,2
127,Pinsir,1, ,500,65,125,100,55,70,85,1,2
127,PinsirMega Pinsir,1,8,600,65,155,120,65,90,105,1,2
128,Tauros,13, ,490,75,100,95,40,70,110,1,2
129,Magikarp,18, ,200,20,10,55,15,20,80,1,2
130,Gyarados,18,8,540,95,125,79,60,100,81,1,2
