ID,Frecuencia_Actividad_Fisica,Duracion_Entrenamientos,Proteina_Diaria_g,Consumo_Suplementos,Proteina_Suplementos_g,Recomendaciones_Nutricionales,Peso_Corporal_kg,Plan_Entrenamiento,Monitorea_Progresos,Alimentacion_Adaptada,Horas_Sueno,Lesiones,Participa_Competencias,Motivacion_Entrenamiento,Orientacion_Profesional,Entorno_Favorece,Objetivo_Deportivo,Factor_Influencia,Energia_Fisica,Herramientas_Registro,Estado_Emocional_Afecta,Mejoras_Ultimos_6_Meses,Calentamiento,Estiramiento_Recuperacion
1,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
2,Siempre,1-2 horas,Más de 150 g,Frecuentemente,Más de 40 g,Frecuentemente,70-90 kg,Siempre,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Frecuentemente,Siempre,Frecuentemente,Siempre,Competir a nivel amateur,Nutrición,Muy alto,Siempre,Siempre,Significativas,Siempre,Siempre
3,Ocasionalmente,Menos de 30 minutos,50-100 g,Raramente,No consumo suplementos,Raramente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Medio,Ocasionalmente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
4,Frecuentemente,1-2 horas,100-150 g,Ocasionalmente,20-40 g,Frecuentemente,Más de 90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Competir a nivel amateur,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
5,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,50-70 kg,Raramente,Raramente,Raramente,Raramente,Nunca,Nunca,Raramente,Nunca,Raramente,Mejorar salud,Motivación,Bajo,Nunca,Raramente,Ninguna,Raramente,Ocasionalmente
6,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
7,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,Menos de 50 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Raramente,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
8,Siempre,1-2 horas,Más de 150 g,Siempre,Más de 40 g,Siempre,70-90 kg,Siempre,Siempre,Siempre,Siempre,Ocasionalmente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Entrenamiento,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
9,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
10,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,Raramente,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Raramente,Nunca,Ocasionalmente,Raramente,Ocasionalmente,Mejorar salud,Motivación,Bajo,Raramente,Raramente,Pequeñas,Ocasionalmente,Raramente
11,Siempre,1-2 horas,Más de 150 g,Siempre,Más de 40 g,Siempre,70-90 kg,Siempre,Siempre,Siempre,Siempre,Ocasionalmente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Entrenamiento,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
12,Siempre,Más de 2 horas,Más de 150 g,Siempre,Más de 40 g,Siempre,70-90 kg,Siempre,Siempre,Siempre,Siempre,Raramente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Nutrición,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
13,Siempre,1-2 horas,Más de 150 g,Frecuentemente,Más de 40 g,Frecuentemente,70-90 kg,Siempre,Siempre,Siempre,Siempre,Ocasionalmente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Descanso,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
14,Siempre,1-2 horas,Más de 150 g,Siempre,Más de 40 g,Siempre,50-70 kg,Siempre,Siempre,Siempre,Siempre,Ocasionalmente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Entrenamiento,Muy alto,Siempre,Siempre,Significativas,Siempre,Siempre
15,Siempre,Más de 2 horas,Más de 150 g,Frecuentemente,Más de 40 g,Siempre,Más de 90 kg,Siempre,Siempre,Siempre,Siempre,Raramente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Nutrición,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
16,Siempre,1-2 horas,Más de 150 g,Siempre,Más de 40 g,Siempre,70-90 kg,Siempre,Siempre,Siempre,Siempre,Ocasionalmente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Motivación,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
