"Marca temporal","Seleccione su edad","Seleccione su sexo","Seleccione su Estado Civil","Seleccione su Municipio","¿Con qué frecuencia tiene problemas con cañerías tapadas?","Seleccione un número entre uno y cinco dependiendo de qué tanto cubre sus necesidades nuestro producto"
"2023/03/19 8:38:31 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","San Jorge","Ocasionalmente","3"
"2023/03/19 8:39:48 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Rivas","Nunca","4"
"2023/03/19 8:42:10 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Potosí","Nunca","3"
"2023/03/19 8:43:17 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Tola","Raramente","4"
"2023/03/19 8:43:48 a. m. GMT-6","15 a 27","Femenino","Casado (a)","Altagracia","Ocasionalmente","5"
"2023/03/19 8:45:32 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Rivas","Raramente","1"
"2023/03/19 8:45:36 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","San Juan del Sur","Raramente","2"
"2023/03/19 8:45:43 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Buenos Aires","Nunca","2"
"2023/03/19 8:47:33 a. m. GMT-6","15 a 27","No Binario","En unión libre","Buenos Aires","Muy frecuentemente","1"
"2023/03/19 8:49:45 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Altagracia","Raramente","3"
"2023/03/19 8:55:09 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Altagracia","Ocasionalmente","3"
"2023/03/19 8:56:11 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Altagracia","Ocasionalmente","2"
"2023/03/19 9:00:05 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Potosí","Raramente","3"
"2023/03/19 9:01:36 a. m. GMT-6","15 a 27","Masculino","Casado (a)","San Juan del Sur","Ocasionalmente","4"
"2023/03/19 9:04:27 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Tola","Raramente","3"
"2023/03/19 9:06:47 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Tola","Raramente","4"
"2023/03/19 9:07:23 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Altagracia","Raramente","2"
"2023/03/19 9:08:53 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Altagracia","Nunca","3"
"2023/03/19 9:25:19 a. m. GMT-6","28 a 40","Femenino","Soltero (a)","San Jorge","Raramente","2"
