"Marca temporal","Seleccione su edad","Seleccione su sexo","Seleccione su Estado Civil","Seleccione su Municipio","¿Con qué frecuencia tiene problemas con cañerías tapadas?","Seleccione un número entre uno y cinco dependiendo de qué tanto cubre sus necesidades nuestro producto","¿Con qué frecuencia realiza mantenimiento preventivo en las cañerías de su hogar?","¿Qué tan satisfecho está con la variedad de productos para destapar cañerías disponibles en el mercado?","¿Cuál de los siguientes medios utiliza con más frecuencia para informarse sobre productos de limpieza del hogar?","¿Qué factor es más importante para usted al momento de comprar un producto para destapar cañerías?"
"2023/03/19 8:38:31 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","San Jorge","Ocasionalmente","3","Ocasionalmente (cada 6 meses)","Satisfecho","Televisión, Redes sociales","Eficacia / rapidez"
"2023/03/19 8:39:48 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Rivas","Nunca","4","Nunca","Neutral","Internet / buscadores","Precio"
"2023/03/19 8:42:10 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Potosí","Nunca","3","Raramente (una vez al año)","Satisfecho","Recomendaciones de familiares o amigos","Facilidad de uso"
"2023/03/19 8:43:17 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Tola","Raramente","4","Frecuentemente (cada 3 meses)","Muy satisfecho","Redes sociales, Internet / buscadores","Eficacia / rapidez"
"2023/03/19 8:43:48 a. m. GMT-6","15 a 27","Femenino","Casado (a)","Altagracia","Ocasionalmente","5","Siempre (cada mes)","Muy satisfecho","Televisión","Que sea ecológico / biodegradable"
"2023/03/19 8:45:32 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Rivas","Raramente","1","Nunca","Muy insatisfecho","Radio","Precio"
"2023/03/19 8:45:36 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","San Juan del Sur","Raramente","2","Raramente (una vez al año)","Insatisfecho","Periódicos o revistas","Presentación / tamaño del envase"
"2023/03/19 8:45:43 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Buenos Aires","Nunca","2","Nunca","Neutral","Redes sociales","Marca reconocida"
"2023/03/19 8:47:33 a. m. GMT-6","15 a 27","No Binario","En unión libre","Buenos Aires","Muy frecuentemente","1","Frecuentemente (cada 3 meses)","Insatisfecho","Internet / buscadores, Recomendaciones de familiares o amigos","Eficacia / rapidez"
"2023/03/19 8:49:45 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Altagracia","Raramente","3","Ocasionalmente (cada 6 meses)","Neutral","Redes sociales, Televisión","Precio"
"2023/03/19 8:55:09 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Altagracia","Ocasionalmente","3","Raramente (una vez al año)","Satisfecho","Recomendaciones de familiares o amigos","Facilidad de uso"
"2023/03/19 8:56:11 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Altagracia","Ocasionalmente","2","Nunca","Insatisfecho","Radio, Internet / buscadores","Precio"
"2023/03/19 9:00:05 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Potosí","Raramente","3","Ocasionalmente (cada 6 meses)","Satisfecho","Redes sociales","Eficacia / rapidez"
"2023/03/19 9:01:36 a. m. GMT-6","15 a 27","Masculino","Casado (a)","San Juan del Sur","Ocasionalmente","4","Frecuentemente (cada 3 meses)","Satisfecho","Internet / buscadores","Que sea ecológico / biodegradable"
"2023/03/19 9:04:27 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Tola","Raramente","3","Raramente (una vez al año)","Neutral","Televisión, Redes sociales","Marca reconocida"
"2023/03/19 9:06:47 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Tola","Raramente","4","Ocasionalmente (cada 6 meses)","Muy satisfecho","Recomendaciones de familiares o amigos","Eficacia / rapidez"
"2023/03/19 9:07:23 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Altagracia","Raramente","2","Nunca","Neutral","Redes sociales","Precio"
"2023/03/19 9:08:53 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Altagracia","Nunca","3","Raramente (una vez al año)","Satisfecho","Internet / buscadores","Facilidad de uso"
"2023/03/19 9:25:19 a. m. GMT-6","28 a 40","Femenino","Soltero (a)","San Jorge","Raramente","2","Frecuentemente (cada 3 meses)","Neutral","Televisión, Radio","Presentación / tamaño del envase"
"2023/03/19 9:30:00 a. m. GMT-6","28 a 40","Masculino","Casado (a)","Belén","Frecuentemente","4","Siempre (cada mes)","Muy satisfecho","Internet / buscadores, Redes sociales","Eficacia / rapidez"
"2023/03/19 9:32:00 a. m. GMT-6","41 a 60","Femenino","Divorciado (a)","Cárdenas","Ocasionalmente","3","Raramente (una vez al año)","Satisfecho","Televisión","Precio"
"2023/03/19 9:34:00 a. m. GMT-6","15 a 27","No Binario","Soltero (a)","Moyogalpa","Nunca","5","Nunca","Neutral","Internet / buscadores","Facilidad de uso"
"2023/03/19 9:36:00 a. m. GMT-6","28 a 40","Femenino","En unión libre","Rivas","Raramente","2","Ocasionalmente (cada 6 meses)","Insatisfecho","Redes sociales","Marca reconocida"
"2023/03/19 9:38:00 a. m. GMT-6","41 a 60","Masculino","Soltero (a)","Altagracia","Muy frecuentemente","1","Nunca","Muy insatisfecho","Radio","Precio"
"2023/03/19 9:40:00 a. m. GMT-6","15 a 27","Femenino","Casado (a)","Tola","Ocasionalmente","4","Frecuentemente (cada 3 meses)","Satisfecho","Redes sociales, Televisión","Que sea ecológico / biodegradable"
"2023/03/19 9:42:00 a. m. GMT-6","28 a 40","Masculino","Soltero (a)","Buenos Aires","Raramente","3","Raramente (una vez al año)","Neutral","Internet / buscadores, Recomendaciones de familiares o amigos","Eficacia / rapidez"
"2023/03/19 9:44:00 a. m. GMT-6","61 o más","Femenino","Viudo (a)","San Juan del Sur","Nunca","5","Siempre (cada mes)","Muy satisfecho","Periódicos o revistas, Televisión","Presentación / tamaño del envase"
"2023/03/19 9:46:00 a. m. GMT-6","15 a 27","Masculino","En unión libre","Potosí","Frecuentemente","2","Ocasionalmente (cada 6 meses)","Neutral","Recomendaciones de familiares o amigos, Redes sociales","Precio"
"2023/03/19 9:48:00 a. m. GMT-6","41 a 60","Femenino","Casado (a)","San Jorge","Ocasionalmente","3","Frecuentemente (cada 3 meses)","Satisfecho","Radio, Internet / buscadores","Facilidad de uso"
"2023/03/19 9:50:00 a. m. GMT-6","28 a 40","No Binario","Soltero (a)","Cárdenas","Raramente","4","Raramente (una vez al año)","Muy satisfecho","Redes sociales, Internet / buscadores","Marca reconocida"
"2023/03/19 9:52:00 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Belén","Nunca","3","Nunca","Neutral","Televisión","Eficacia / rapidez"
"2023/03/19 9:54:00 a. m. GMT-6","28 a 40","Femenino","Casado (a)","Moyogalpa","Ocasionalmente","4","Siempre (cada mes)","Satisfecho","Internet / buscadores","Precio"
"2023/03/19 9:56:00 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Rivas","Raramente","2","Frecuentemente (cada 3 meses)","Insatisfecho","Radio, Redes sociales","Que sea ecológico / biodegradable"
"2023/03/19 9:58:00 a. m. GMT-6","41 a 60","Femenino","Divorciado (a)","Altagracia","Frecuentemente","1","Raramente (una vez al año)","Muy insatisfecho","Periódicos o revistas","Presentación / tamaño del envase"
"2023/03/19 10:00:00 a. m. GMT-6","15 a 27","No Binario","En unión libre","San Jorge","Nunca","5","Nunca","Neutral","Recomendaciones de familiares o amigos","Facilidad de uso"
"2023/03/19 10:02:00 a. m. GMT-6","28 a 40","Masculino","Soltero (a)","Tola","Muy frecuentemente","2","Ocasionalmente (cada 6 meses)","Neutral","Internet / buscadores, Televisión","Precio"
"2023/03/19 10:04:00 a. m. GMT-6","15 a 27","Femenino","Casado (a)","Buenos Aires","Raramente","3","Siempre (cada mes)","Satisfecho","Redes sociales","Eficacia / rapidez"
"2023/03/19 10:06:00 a. m. GMT-6","61 o más","Masculino","Viudo (a)","Cárdenas","Ocasionalmente","4","Frecuentemente (cada 3 meses)","Muy satisfecho","Televisión, Radio","Marca reconocida"
"2023/03/19 10:08:00 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Potosí","Nunca","3","Nunca","Neutral","Internet / buscadores","Precio"
"2023/03/19 10:10:00 a. m. GMT-6","28 a 40","Masculino","Casado (a)","San Juan del Sur","Frecuentemente","5","Siempre (cada mes)","Satisfecho","Redes sociales, Internet / buscadores","Que sea ecológico / biodegradable"
"2023/03/19 10:12:00 a. m. GMT-6","41 a 60","Femenino","Soltero (a)","Rivas","Raramente","2","Raramente (una vez al año)","Insatisfecho","Recomendaciones de familiares o amigos","Presentación / tamaño del envase"
"2023/03/19 10:14:00 a. m. GMT-6","15 a 27","Masculino","En unión libre","Altagracia","Ocasionalmente","4","Ocasionalmente (cada 6 meses)","Neutral","Radio","Facilidad de uso"
"2023/03/19 10:16:00 a. m. GMT-6","28 a 40","No Binario","Soltero (a)","Belén","Nunca","3","Frecuentemente (cada 3 meses)","Satisfecho","Televisión, Redes sociales","Precio"
"2023/03/19 10:18:00 a. m. GMT-6","15 a 27","Femenino","Casado (a)","Moyogalpa","Raramente","1","Nunca","Muy insatisfecho","Internet / buscadores","Eficacia / rapidez"
"2023/03/19 10:20:00 a. m. GMT-6","41 a 60","Masculino","Divorciado (a)","San Jorge","Muy frecuentemente","2","Raramente (una vez al año)","Neutral","Periódicos o revistas, Televisión","Marca reconocida"
"2023/03/19 10:22:00 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Tola","Frecuentemente","4","Siempre (cada mes)","Satisfecho","Redes sociales","Que sea ecológico / biodegradable"
"2023/03/19 10:24:00 a. m. GMT-6","28 a 40","Masculino","Soltero (a)","Cárdenas","Ocasionalmente","3","Ocasionalmente (cada 6 meses)","Neutral","Radio, Internet / buscadores","Precio"
"2023/03/19 10:26:00 a. m. GMT-6","15 a 27","No Binario","En unión libre","Buenos Aires","Nunca","5","Nunca","Muy satisfecho","Recomendaciones de familiares o amigos","Facilidad de uso"
"2023/03/19 10:28:00 a. m. GMT-6","61 o más","Femenino","Viudo (a)","Potosí","Raramente","3","Frecuentemente (cada 3 meses)","Satisfecho","Internet / buscadores","Presentación / tamaño del envase"
"2023/03/19 10:30:00 a. m. GMT-6","15 a 27","Masculino","Casado (a)","San Juan del Sur","Ocasionalmente","4","Siempre (cada mes)","Neutral","Televisión","Eficacia / rapidez"
"2023/03/19 10:32:00 a. m. GMT-6","28 a 40","Femenino","Soltero (a)","Rivas","Raramente","2","Raramente (una vez al año)","Insatisfecho","Redes sociales, Internet / buscadores","Precio"
"2023/03/19 10:34:00 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","Altagracia","Muy frecuentemente","1","Nunca","Muy insatisfecho","Radio","Marca reconocida"
