P1 - P2 - P3 - P4 - P5 - P6 - P7 - P8 
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
b - B - C - A - C - B - D - A - D - B - D - B
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
c - A - A - C - A - A - A - B - B - B - A - A
a - C - B - B - B - B - C - C - C - D - D - B
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
a - C - B - E - C - D - B - C - B - E - D - B
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
a - D - D - D - B - E - D - E - A - E - D - C
a - B - A - C - A - B - B - B - B - C - B - A
b - D - C - D - B - C - D - C - A - D - C - B
c - A - A - B - A - A - D - A - D - A - A - A
b - A - A - B - A - A - C - B - C - D - B - A
c - B - B - C - D - C - E - D - B - C - C - B
