Timestamp,Género,Edad,Ubicación,Frecuencia actividades al aire libre,Tipos de camping preferidos,Factores importantes para elegir camping,Tipo de alojamiento,Satisfacción general,Limpieza del lugar,Seguridad percibida,Dificultades enfrentadas,Frecuencia problemas reservación,Probabilidad de volver,Recomendación a otros,Mejoras sugeridas
2023-11-15 10:00:00,Masculino,26-35 años,Ciudad de México,Una vez al mes,"Montaña Bosque","Seguridad Belleza_natural Privacidad",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,"Falta_infraestructura Clima_extremo",A veces,Probable,Probablemente sí,"Más baños y mejor señalización"
2023-11-15 10:01:22,Femenino,18-25 años,Madrid,2-3 veces al mes,"Playa Glamping","Limpieza Acceso_baños Agua_potable",Cabaña o refugio,Muy satisfecho/a,Muy limpios,Muy seguro/a,"Insectos Saturación_gente",Rara vez,Muy probable,Definitivamente sí,"Más actividades organizadas"
2023-11-15 10:02:45,Otro,36-45 años,Buenos Aires,Una vez cada 3 meses,"Bosque Desierto","Belleza_natural Privacidad Actividades_recreativas",Autocaravana o camper,Neutral,Aceptables,Neutral,"Clima_extremo",,Neutral,Neutral,
2023-11-15 10:04:10,Femenino,46-55 años,Bogotá,Una vez al año,"Glamping","Seguridad Precio",Cabaña o refugio,Insatisfecho/a,Sucios,Poco seguro/a,"Falta_infraestructura Dificultad_reservar",Frecuentemente,Poco probable,Probablemente no,"Mejor mantenimiento"
2023-11-15 10:05:33,Masculino,56 años o más,Santiago,Una vez a la semana,"Autocaravana","Acceso_baños Agua_potable Precio",Autocaravana o camper,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 10:06:55,Femenino,26-35 años,Lima,2-3 veces al mes,Montaña,"Seguridad Belleza_natural",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,"Insectos",A veces,Probable,Probablemente sí,"Más áreas sombreadas"
2023-11-15 10:08:20,Masculino,18-25 años,Barcelona,Una vez al mes,"Playa Bosque Desierto","Limpieza Actividades_recreativas",Hamaca,Muy insatisfecho/a,Muy sucios,Nada seguro/a,"Falta_infraestructura Clima_extremo Saturación_gente",Siempre,Nada probable,Definitivamente no,"Mayor seguridad y limpieza"
2023-11-15 10:09:42,Femenino,36-45 años,Medellín,Una vez cada 3 meses,Bosque,"Belleza_natural Privacidad",Carpa/tienda de campaña,Satisfecho/a,Aceptables,Seguro/a,,Rara vez,Probable,Probablemente sí,"Mejor señalización"
2023-11-15 10:11:05,Masculino,26-35 años,Guadalajara,Una vez al mes,"Montaña Glamping","Seguridad Acceso_baños Agua_potable",Cabaña o refugio,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 10:12:30,Otro,18-25 años,Montevideo,2-3 veces al mes,Playa,"Actividades_recreativas Precio",Carpa/tienda de campaña,Neutral,Limpios,Neutral,"Insectos",A veces,Neutral,Neutral,"Más opciones de comida"
2023-11-15 10:13:55,Femenino,26-35 años,Quito,Una vez al mes,"Montaña Bosque","Seguridad Acceso_baños",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,"Clima_extremo",A veces,Probable,Probablemente sí,"Más duchas disponibles"
2023-11-15 10:15:20,Masculino,36-45 años,Caracas,Una vez cada 3 meses,"Playa Desierto","Belleza_natural Privacidad",Autocaravana o camper,Neutral,Aceptables,Neutral,,,Neutral,Neutral,
2023-11-15 10:16:45,Femenino,18-25 años,Santiago,2-3 veces al mes,"Glamping","Limpieza Actividades_recreativas",Cabaña o refugio,Muy satisfecho/a,Muy limpios,Muy seguro/a,"Saturación_gente",Rara vez,Muy probable,Definitivamente sí,"Menos ruido nocturno"
2023-11-15 10:18:10,Masculino,46-55 años,Lima,Una vez al año,"Bosque","Seguridad Precio",Carpa/tienda de campaña,Insatisfecho/a,Sucios,Poco seguro/a,"Falta_infraestructura Insectos",Frecuentemente,Poco probable,Probablemente no,"Más personal de mantenimiento"
2023-11-15 10:19:35,Femenino,56 años o más,Bogotá,Una vez a la semana,"Autocaravana","Acceso_baños Agua_potable",Autocaravana o camper,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 10:21:00,Masculino,26-35 años,Medellín,Una vez al mes,"Montaña","Seguridad Belleza_natural",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,"Clima_extremo",A veces,Probable,Probablemente sí,"Más zonas de descanso"
2023-11-15 10:22:25,Femenino,18-25 años,Guadalajara,2-3 veces al mes,"Playa Bosque","Limpieza Actividades_recreativas",Hamaca,Muy satisfecho/a,Muy limpios,Muy seguro/a,"Insectos",Rara vez,Muy probable,Definitivamente sí,"Más iluminación nocturna"
2023-11-15 10:23:50,Otro,36-45 años,Montevideo,Una vez cada 3 meses,"Desierto","Belleza_natural Privacidad",Autocaravana o camper,Neutral,Aceptables,Neutral,,,Neutral,Neutral,
2023-11-15 10:25:15,Masculino,26-35 años,Ciudad de México,Una vez al mes,"Glamping","Seguridad Acceso_baños",Cabaña o refugio,Satisfecho/a,Limpios,Seguro/a,"Dificultad_reservar",A veces,Probable,Probablemente sí,"WiFi en áreas comunes"
2023-11-15 10:26:40,Femenino,46-55 años,Madrid,Una vez al año,"Bosque","Precio Privacidad",Carpa/tienda de campaña,Insatisfecho/a,Sucios,Poco seguro/a,"Falta_infraestructura",Frecuentemente,Poco probable,Probablemente no,"Más vigilancia"
2023-11-15 10:28:05,Masculino,18-25 años,Buenos Aires,2-3 veces al mes,"Playa","Actividades_recreativas Precio",Hamaca,Muy insatisfecho/a,Muy sucios,Nada seguro/a,"Clima_extremo Saturación_gente",Siempre,Nada probable,Definitivamente no,"Más sombra natural"
