ID,Selecciones
1,"Rock, Pop"
2,"Salsa / Música tropical"
3,"Hip-Hop / Rap, Electrónica"
4,"Pop, Jazz"
5,"Rock, Pop, Electrónica"
6,"Electrónica"
7,"Salsa / Música tropical, Pop"
8,"Jazz, Hip-Hop / Rap"
9,"Rock, Hip-Hop / Rap"
10,"Pop, Rock, Salsa / Música tropical"
11,"Hip-Hop / Rap"
12,"Rock, Electrónica, Pop"
13,"Salsa / Música tropical, Jazz"
14,"Pop, Electrónica"
15,"Rock, Jazz"
16,"Electrónica, Hip-Hop / Rap, Pop"
17,"Salsa / Música tropical, Rock"
18,"Jazz"
19,"Pop, Salsa / Música tropical"
20,"Hip-Hop / Rap, Rock, Electrónica"
21,"Rock"
22,"Pop, Hip-Hop / Rap"
23,"Jazz, Pop"
24,"Electrónica, Rock"
25,"Salsa / Música tropical, Hip-Hop / Rap, Pop"
26,"Rock, Pop, Jazz"
27,"Hip-Hop / Rap, Electrónica, Rock"
28,"Pop, Rock"
29,"Electrónica, Salsa / Música tropical"
30,"Jazz, Rock"
31,"Rock, Salsa / Música tropical"
32,"Pop, Jazz, Electrónica"
33,"Hip-Hop / Rap, Jazz"
34,"Electrónica"
35,"Salsa / Música tropical, Pop, Rock"
36,"Rock, Hip-Hop / Rap, Salsa / Música tropical"
37,"Jazz, Electrónica"
38,"Pop, Hip-Hop / Rap, Electrónica"
39,"Rock, Electrónica"
40,"Salsa / Música tropical"
41,"Hip-Hop / Rap, Pop, Jazz"
42,"Electrónica, Hip-Hop / Rap"
43,"Pop, Salsa / Música tropical, Rock"
44,"Jazz, Rock, Electrónica"
45,"Rock, Pop"
46,"Salsa / Música tropical, Jazz, Pop"
47,"Hip-Hop / Rap, Salsa / Música tropical"
48,"Electrónica, Pop, Jazz"
49,"Rock, Hip-Hop / Rap"
50,"Jazz, Salsa / Música tropical"
51,"Pop, Electrónica"
52,"Hip-Hop / Rap, Rock, Pop"
53,"Salsa / Música tropical, Electrónica"
54,"Jazz, Hip-Hop / Rap, Rock"
55,"Rock"
56,"Pop, Hip-Hop / Rap, Salsa / Música tropical"
57,"Electrónica, Rock, Jazz"
58,"Hip-Hop / Rap, Electrónica"
59,"Jazz, Pop, Rock"
60,"Salsa / Música tropical, Hip-Hop / Rap"
61,"Rock, Salsa / Música tropical, Pop"
62,"Pop, Rock"
63,"Hip-Hop / Rap"
64,"Electrónica, Salsa / Música tropical, Rock"
65,"Jazz, Electrónica, Pop"
66,"Rock, Hip-Hop / Rap, Electrónica, Pop"
67,"Salsa / Música tropical, Jazz"
68,"Pop, Salsa / Música tropical"
69,"Electrónica, Hip-Hop / Rap, Rock"
70,"Jazz, Rock"
71,"Rock, Electrónica"
72,"Pop, Jazz, Salsa / Música tropical"
73,"Hip-Hop / Rap, Pop, Rock"
74,"Salsa / Música tropical"
75,"Jazz, Hip-Hop / Rap, Electrónica"
76,"Rock, Pop, Hip-Hop / Rap"
77,"Electrónica, Jazz"
78,"Pop, Rock, Salsa / Música tropical"
79,"Hip-Hop / Rap, Jazz, Rock"
80,"Salsa / Música tropical, Electrónica"
81,"Rock, Pop, Electrónica, Jazz"
82,"Jazz"
83,"Pop, Hip-Hop / Rap"
84,"Electrónica, Salsa / Música tropical, Hip-Hop / Rap"
85,"Rock, Jazz, Salsa / Música tropical"
86,"Hip-Hop / Rap, Pop"
87,"Salsa / Música tropical, Rock, Electrónica"
88,"Jazz, Pop"
89,"Electrónica, Hip-Hop / Rap, Salsa / Música tropical"
90,"Rock, Hip-Hop / Rap"
91,"Pop, Rock"
92,"Hip-Hop / Rap, Electrónica, Jazz"
93,"Salsa / Música tropical, Pop, Hip-Hop / Rap"
94,"Rock, Electrónica, Pop"
95,"Jazz, Salsa / Música tropical"
96,"Electrónica"
97,"Rock, Salsa / Música tropical, Pop"
98,"Hip-Hop / Rap, Rock, Jazz"
99,"Pop, Electrónica, Salsa / Música tropical"
100,"Jazz, Hip-Hop / Rap, Electrónica, Rock"
